English,Azerbaijani
﻿ Abandon ," tərk etmək,"
Abandoned ," tərk edilmiş,"
Ability ," imkan, qabiliyyət,"
Able ," mümkün,"
Unable ," qeyri mümkün,"
About ," haqqında,"
Above ," üzərində,"
Abroad ," xaricdə,"
Absence ," yoxluq,"
Absent ," olmayan, tapılmayan,"
Absolute ," tamamilə,"
Absolutely ," tamamilə,"
Absorb ," canına çəkmək,"
Abuse ," pis istifadə etmək,"
Academic ," akademik,"
Accent ," ləhçə,"
Accept ," qəbul etmək,"
Acceptable ," qəbul ediləbilir,"
Unacceptable ," qəbul ediləbilməz,"
