Splendid ," möhtəşəm, mükəmməl,"
Able ," bacarıqlı,"
Urgent ," təcili,"
Ordinary ," adi,"
Genius ," dahi,"
Pure ," saf,"
Boiled ," qaynadılmış,"
Rapid ," cəld,"
Enjoyable ," zövqlü,"
Chilled ," sakit, dondurulmuş,"
Broaden," widen, expand, enlarge , genişləndirmək,"
Entertain," amuse , əyləndirmək,"
Escape ," xilas olmaq,"
Foe ," düşmən,"
Prohibit," forbid , qadağa etmək,"
Relieve ," rahatlatmaq,"
Substance ," maddə,"
Apart ," başqa,"
Cub ," bala,"
Stripe ," zolaq,"
