Gossip ," qeybət,"
Favor ," yaxşılıq,"
Eventually ," nəhayət,"
Fuse ," sığorta,"
Tiring ," yorucu,"
Productive ," məhsuldar, səmərəli,"
lawyer ," vəkil,"
advocate ," vəkil, müdafiə etmək,"
laundry," launderette , çamaşırxana,"
perhaps," maybe  , bəlkə,"
peacock ," tovuzquşu,"
essential," important, necessary , təməl, vacib,"
scuba dive ," tüplü dalış,"
attention ," diqqət,"
soft ," yumşaq, xəfif,"
guard ," qoruma, növbətçi qorumaq,"
image ," görüntü,"
immediate(ly) ," tez, dərhal,"
response," answer, reply  , qarşılıq, cavab,"
thought ," düşüncə,"
