primary ," ilk, birinci, başlıca,"
to remain ," qalmaq,"
sette," couch, loung (living room) , divan,"
site," place , yer,"
certain," sure , əmin,"
rear," back , arxa,"
goddess ," tanrıça,"
intermittent ," aralıqlı, kəsik,kəsik,"
decision ," qərar,"
compete ," rəqabət,"
introduce ," tanıtmaq, tanışdırmaq,"
drug ," narkotik, dərman,"
nostril ," burun deşiyi,"
sign ," iz,"
hostile ," ədavətli,"
hunger ," aclıw,"
react ," qarşılamaq,"
outer ," çöldəki, xarici,"
room ," yer (uncountable),"
purpose ," niyyət,"
