intent ," niyyət, məqsəd,"
spill ," tökmək,"
seek ," axtarmaq,"
possess ," sahib olmaq,"
lung ," ağciyər,"
load ," yükləmək,"
hint," clue , ipucu,"
appreciate ," dəyər vermək, anlamaq, başa düşmək,"
available ," müsait, hazır,"
beat ," keçmək (yarışda),"
determine ," müəyyənləşdirmək,"
flow ," axmaq, tökülmək,"
hill ," təpə,"
puddle ," su yığıntısı,"
whether ," ya , əgər,"
crawling ," iməkləmək,"
reasonable ," məntiqə uyğun, ağla yatan,"
division ," bölünmə, bölmə,"
volunteer ," könüllü,"
approval ," təsdiq,"
