seal ," möhür,"
avalanche ," uçqun,"
on purpose ," qəsdən,"
church ," kilsə,"
worship ," itaət etmək,"
breed ," tərbiyə etmək,"
to insist ," dirəşmək ısrar etmək,"
divorce ," boşanmaq,"
adolescence ," yetkinlik,"
go out with (smb) ," görüşə çıxmaq,"
punctual ," dəqiqliklə,"
impression ," təəssürat,"
ambitious ," iddialı,"
split up ," ayrılıq (ending of relationship),"
consider ," düşünmək,"
considere ," nəzərə almaq,"
crude ," xam, çiy,"
enzyme ," ferment,"
coagulating," clot  , laxtalanma,"
citrate ," sitrat,"
