injustice ," ədalətsizlik,"
conclusion ," nəticə,"
bother ," narahat olmaq,"
bliss ," zövq, xoşbəxtlik,"
lure ," cəzb etmək,"
depict ," təsvir etmək,"
boundary ," sərhəd,"
summary ," xülasə,"
fit ," uyğun,"
supervisor," warden , nəzarətçi, keşikçi,"
unabashedly ," səbirsiz,"
go over," revise , yenidən baxmaq,"
enthusiastic ," həvəsli,"
jurist ," hüquqşünas,"
inimical ," xas olmayan,"
effort ," səy, cəhd,"
rattled ," xırıltılı,"
rat ," siçovul,"
resemble ," bənzəmək, oxşar olmaq,"
rodent ," gəmirici,"
