remedy ," çarə,"
alter ," dəyişdirmək,"
teardrop ," gözyaşı,"
grief ," qəm,"
wail ," fəryad,"
to weep ," ağlamaq,"
consciousness ," şürluluq,"
reassemble ," yenidən yığmaq/yığılmaq,"
disgust ," iyrənmək,"
whir ," çırpınmaq,"
delectable ," ləzzətli,"
exquisite ," nəfis,"
appetizing ," iştahaçan,"
dare ," cəsarət etmək,"
heifer ," düyə,"
fraudulent ," saxtakarlıq,"
imposter ," təhrikçi,"
accoutrement ," uyğunlaşma,"
accordion ," qarmon,"
volatile ," uçucu,"
