pedestrian ," piyada,"
principal ," başlıca, əsas,"
boldly ," cəsarətlə,"
bumpy ," kələ,kötür, qabarıq,"
curse ," lənət,"
apprehend ," tutmaq, həbs etmək,"
swear ," and içmək,"
rental ," icarə haqqı,"
depart ," yola çıxmaq,"
nevertheless ," yenə də, lakin, buna baxmayaraq,"
occupation ," sənət, peşə,"
overseas ," xarici, denizaşırı,"
scholar ," alim,"
stir ," qarışdırmaq,"
sightseeing ," gəzib,görmək, görməli yerlər,"
cruise ," dəniz səyahəti,"
cliff ," uçurum,"
delight ," zövq, feeling happy,"
considerable ," böyük, önəmli,"
fare ," gediş haqqı,"
