condemn ," məhkum etmək,"
empowerment ," güclənmə,"
precaution ," önləm, ehtiyat tədbirləri,"
arrogant ," kinli,"
guilty ," günahkar,"
offended ," incik, küskün,"
prompt ," (hadisə və ya fakt) səbəb və ya əmələ gətirən (bir hərəkət və ya hiss).,"
plot ," sujet, qəsd, sahə,"
flip flops ," vetnamka,"
glitz ," parıldamaq,"
high heeled shoes ," uzun daban ayaqqabı,"
loose ," gen,bol, sərbəst, yumuşaq,"
addiction ," asılılıq,"
be fed up with ," sıxılmaq,"
seagulls ," qağayı,"
inicerate ," yandırmaq,"
currency ," valyuta,"
hold," warehouse , ambar,"
lamb ," kuzu,"
cod ," dalga geçmek ?,"
