chewing ," çeynəmək,"
pork ," donuz,"
bunch ," komanda, qrup,"
reputation ," etibar, şöhrət,"
hesitation ," tərəddüt,"
recognition ," təqdir,"
deed ," əməl,"
refrigerate ," dondurmaq, soyutmaq,"
insert ," qoymaq,"
grant ," icazə vermək,"
miner ," mədənçi,"
pour ," tökmək,"
presence ," olma, varlıq,"
sewage ," çirkab, kanalizasiya,"
raw ," xam,"
convict ," məhkum etmək,"
mourning ," yas tutmaq,"
vaguely ," çox az,"
exploit ," istismar etmək, faydalanmaq,"
assure ," təmin etmək,"
