janitor ," qapıçı,"
in a row ," arxa,arxaya, dalbadal,"
casualty ," yaralı, ölü,"
shrub ," çalı,"
dimple ," qəmzə,"
felony ," cinayət, suç,"
brag ," lovğalanmaq, özünü öymək,"
bare ," yalın, çılpaq,"
hook ," qarmaq, ilişdirmək,"
cast ," atmaq, tullamaq,"
inn ," mehmanxana, otel,"
pot ," qazan,"
subtract ," çıxarmaq,"
inference ," nəticə, nəticə çıxarmaq,"
ponderous ," ağır,"
intensity ," yoğunluk,"
volatility ," dəyişkənlik,"
condescending ," alçaldıcı,"
bolster ," dəstəkləmək, dayaq olmaq,"
hovel ," kulübe,"
