scorn ," alçatmaq,"
attire ," geyim,"
peasant ," kəndli,"
drawback ," minus, dezavantaj,"
saturated (unsaturated) fat ," doymuş (doymamış) yağ,"
consume ," istehlak etmək, istifadə etmək,"
intake ," alım,"
blood clotting ," qan laxtalanması,"
inflammation ," iltihab,"
impure ," natəmiz,"
contaminant ," çirkləndirici,"
outnumber ," sayca üstələmək, çox olmaq,"
outgrow ," böyümək, keçmək,"
outlive ," daha çox yaşamaq,"
outweigh ," daha ağır olmaq,"
outwit ," bicliklə birinə qalib gəlmək,"
convict ," məhkum, məhbus  məhkum etmək,"
cope (with) ," öhdəsindən gəlmək,"
pay off ," borcu bağlamaq,"
hold back ," özünü saxlamaq,"
