hold up ," gecikdirmək,,"
shop around ," bir şeyi ən yaxşı qiymətə almaq üçün mağaza,mağaza gəzmək,"
emerge ," ortaya çıxmaq,"
resident ," sakin,"
plausible ," məntiqə uyğun,"
strict ," ciddi, sərt,"
wand ," çubuq,"
detrimental ," zərərli,"
pork ," donuz əti,"
poultry ," quş əti, ev quşları,"
palm ," xurma,"
bologna ," kolbasa,"
correlation ," əlaqə,"
aqueduct ," su kəməri,"
strait ," çətin vəziyyət,"
endow ," bəxş etmək,"
parlor ," salon,"
filthy ," kirli,"
vultures ," leşyeyən,"
clergy ," ruhani, din xadimləri,"
