breezeway ," koridor,"
courtesy  ," nəzakət,"
privilege ," imtiyaz,"
trainee ," praktikant,"
preliminary ," ilk,"
furlough ," icazə, məzuniyyət,"
regimen ," müalicə kursu,"
insistent ," inadkar,"
insult ," təhqir,"
fec ," nəcis,"
deter ," çəkinmək,"
invigorate ," canlandırmaq, güc vermək,"
unsung ," tanınmış, qədri bilinməyən,"
venture ," cəsarət etmək, risk etmək,"
secure ," təmin etmək,"
leer ," yan baxmaq,"
musty ," xarab, kifli, xarab,"
workforce ," işçi qüvvəsi,"
swing ," döndərmək,"
momentum ," gedişat,"
