imperative ," vacib, əmr,"
unruly ," itaətsiz,"
tame ," əhliləşdirmək,"
tranquil ," sakit,"
canny ," ağıllıca (biznesdə),"
budget–conscious ," uyğun maliyyəli,"
subject ," uğramaq,"
fellow ," sevgili,"
seal ," banka,"
negligence ," səhlənkarlıq,"
shrink ," qaçmaq,"
a household name ," tanınmış ad, hamının tanıdığı adam,"
momentous ," çox vacib,"
confidential ," gizli,"
avert ," qarşısını almaq, gözlərini qaçırtmaq, düşüncələrini dəyişdirmək,"
promptly ," dərhal,"
hardened ," sərt,"
gown ," önlük,"
woozy ," havalı,"
incisions ," kəsik,"
