extruded ," işlənmiş   extruded meats,"
no offense ," üstünə götürmə,"
longshoreman ," liman işçisi,"
oyster ," istridyə,"
ease ," dindirmək (ağrı),"
assumption ," fərziyyə, təxmin,"
insinuate ," uydurmaq, nəyisə altdan,altdan demək,"
exhibit ," sərgiləmək,"
adeptly ," ustaca, bacarıqla,"
debase ," bayağılaşdırmaq, pozmaq,"
deterrent ," something that deters people from doing something,"
heinous ," çox pis, iyrənc,"
snap ," ağlını itirmək,"
depravity ," əxlaqsızlıq,"
mutilate ," kəsərək xəsarət yetirmək,"
shatter ," parçalamaq, qırmaq,"
decapitate ," başını kəsmək,"
scattered ," dağınıq, səpələnmiş,"
brighten up ," canlandırmaq, şənləndirmək,"
put away ," həbsə atmaq,"
