breach ," pozuntu,"
brazen ," həyasız,"
reprimanded ," danlamaq, töhmət,"
proclivity ," meyil,"
deviant ," sapma,"
contraption ," mexanizm,"
so to speak ," deməli,"
malady ," xəstəlik,"
explicit ," açıq,"
balmy ," rahatladıcı,"
plague ," bezdirmək, usandırmaq,"
evidently ," açıq,aşkar,"
masterstroke ," ustaca hərəkət,"
humane ," humanist, insani,"
strangle ," boğmaq,"
fatigue ," yorğunluq,"
short,"sighted , irəlini görə bilməyən, gələcəyi fikirləşməyən,"
alert ," xəbərdarlıq etmək,"
suffice ," kifayət etmək, bəs etmək, yetmək,"
harsh ," sərt,"
