exultation ," sevinc,"
matrimony ," nikah, evlilik,"
predilection ," meyil, aludəlik,"
bedevil ," alt,üst etmək, məhv etmək,"
undermine ," sarsıtmaq, lağım atmaq,"
vermin (plural) ," zərərverici həşəratlar,"
insubordination ," itaətsizlik, başqaldırma,"
yahoo ," cahil, avam,"
tolerate ," dözmək, səbr eləmək,"
imbecile ," gicbəsər,"
elusive ," əlçatmaz,"
anticipated ," gözlənilən,"
inaccurate ," dəqiq olmayan, qeyri,dəqiq,"
intruder ," çağırılmamış qonaq,"
shaken ," məyus, sarsılmış,"
insatiable ," doymaz, acgöz,"
beloved ," sevilən,"
resignations ," istefa,"
gratitude ," minnətdarlıq, təşəkkür,"
persistent ," inadcıl, inadkar,"
