exterior ," zahiri,"
demotion ," vəzifədən salma,"
hamfisted ," bacarıqsız yöntəm,"
ail ," rahatsız etmək,"
notoriously ," in a way that is famous for something bad,"
proper ," düzgün, müvafiq,"
decisive ," able to make decisions quickly and confidently, or showing this quality,"
rebuff ," qəti şəkildə rədd etmək,"
advance ," an attempt to start a romantic relationship with smby,"
plotting ," hiylə qurmaq, komplo qurmaq,"
carry out ," həyata keçirmək, gerçəkləşdirmək,"
enchantress ," cadugər,"
toad ," qurbağa,"
oak ," palıd,"
cauldron ," böyük qazan,"
potion ," iksir,"
hare ," dovşan,"
gaze ," baxmaq, uzun baxış,"
underprivileged ," imkansız,"
to an extent ," müəyyən dərəcədə,"
