Reality ," gerçəklik, gerçək,"
Agree ," qəbul etmək, anlaşmaq,"
Unfortunately ," təəssüf ki,"
Refuse ," zibil, qəbul etməmək,,"
Such ," bu cür,"
Forced ," məcburi,"
Seat ," oturacaq,"
Useless ," faydasız,"
Blame ," günahlandırmaq,"
Research ," tədqiqat,"
Suppose ," güman etmək, tutaq ki, tutalım ki,"
Consider ," düşünmək, nəzərə almaq,"
Approach ," yanaşma, yanaşmaq,"
Hostage ," əsir,"
Embrace ," qucaqlamaq,"
embarrassing ," utanc verici,"
Recognize ," tanımaq,"
Finally ," nəhayət,"
Reach ," çatmaq, gəlib çatmaq,"
Thinker ," mütəfəkkir,"
