Frightened ," qorxudulmuş,"
Displeased ," narazı,"
Penniless ," qəpiksiz,"
Jobless ," işsiz,"
Moneyless ," pulsuz,"
Separately ," ayrı,"
Tight ," sıx,"
Doubtful ," şübhəli,"
Saint," sacret, holy  , müqəddəs,"
Scared ," qorxmuş,"
Industrious ," bacarıqlı,"
Agricultural ," kənd təsərrüfatına aid olan,"
Cultural ," mədəni,"
Economic ," iqtisadi,"
Political ," siyasi,"
Progressive ," davamedici,"
Daily ," gündəlik,"
Blond ," sarışın,"
Faithful," devoted , sadiq,"
Historic ," tarixi,"
