Word;Description
intricately;:having many complexly interrelating parts or elements:complicated
ameliorate;:to make better or moretolerable
perturbation;:the action ofperturbing:the state of beingperturbed
permeability;:the quality or state of beingpermeable
pertain;:to belong as a part, member, accessory, or product
industriousness;:constantly, regularly, or habitually active or occupied:diligent
conscientiousness;:the condition or quality of beingconscientious
unfathomable;:not capable of being fathomed:
ablation;:the process ofablating: such as
preclude;:to makeimpossibleby necessary consequence:rule out in advance
attenuation;:the act or process ofattenuatingsomething or the state of being attenuated: such as
incur;:to becomeliableorsubjectto:bring down upon oneself
sound;:a particular auditory impression:tone
dearth;:scarcitythat makesdear
spanning;:the distance from the end of the thumb to the end of the little finger of a spread hand
transduce;:to convert (something, such as energy or a message) into another form
regimented;:a military unit consisting usually of a number of battalions
surmised;:a thought or idea based on scanty evidence:conjecture
ostensibly;:in anostensiblemanner
quiescent;:marked by inactivity or repose:tranquilly at rest
pursuant;:prosecutor
administration;:performance of executive duties:management
conformation;:the act ofconformingor producingconformity:adaptation
bodily;:having a body:physical
residual;:remainder,residuum: such as
discrepancy;:the quality or state of disagreeing or being at variance
plummeting;:to fall perpendicularly
confounds;:to throw (a person) intoconfusionor perplexity
supplanting;:to supersede (another) especially by force or treachery
herald;:an official at a tournament of arms (seearmentry3sense 1a) with duties including the making of announcements and the marshaling of combatants
recession;:the act or action ofreceding:withdrawal
acumen;:keenness and depth of perception,discernment, ordiscriminationespecially in practical matters
tenacity;:the quality or state of beingtenacious
predecessor;:one that precedes
disavows;:to deny responsibility for:repudiate
mashup;:something created by combining elements from two or more sources: such as
coalesced;:to grow together
interspersed;:to insert at intervals among other things
tantamount;:equivalent in value, significance, or effect
deterring;:to turn aside,discourage, or prevent from acting
serpent;:a noxious creature that creeps, hisses, or stings
eclectic;:composed of elements drawn from various sources
spat;:a young bivalve (such as an oyster)
saint;:one officially recognized especially through canonization as preeminent for holiness
inherently;:involved in the constitution oressentialcharacter of something:belonging by nature or habit:intrinsic
heretical;:of or relating to adherence to a religious opinion contrary to church dogma:characterized byheresy
parse;:to divide (a sentence) into grammatical parts and identify the parts and their relations to each other
copulation;:to engage in sexual intercourse
conundrum;:anintricateand difficult problem
inference;:something that is inferred
Dissuade;:to advise (a person) against something
seminal;:of, relating to, or consisting of seed orsemen
afflict;:to cause pain or suffering to:to distress so severely as to cause persistent suffering or anguish
aggregate;:formed by the collection of units or particles into a body, mass, or amount:collective: such as
dejected,;:low in spirits:depressed
allay;:to subdue or reduce in intensity or severity:alleviate
striven;:to devote serious effort or energy:endeavor
