Word;Description
preclude;:to makeimpossibleby necessary consequence:rule out in advance
pursuant;:prosecutor
conformation;:the act ofconformingor producingconformity:adaptation
incur;:to becomeliableorsubjectto:bring down upon oneself
transduce;:to convert (something, such as energy or a message) into another form
surmised;:a thought or idea based on scanty evidence:conjecture
profiteering;:the act or activity of making an unreasonableprofiton the sale of essential goods especially during times of emergency
ostensibly;:in anostensiblemanner
prattle;:prate
quiescent;:marked by inactivity or repose:tranquilly at rest
administration;:performance of executive duties:management
contemplated;:to view or consider withcontinuedattention:meditate on
curbing;:the material for a curb
bodily;:having a body:physical
discrepancy;:the quality or state of disagreeing or being at variance
subverts;:to overturn or overthrow from the foundation:ruin
plummeting;:to fall perpendicularly
mashup;:something created by combining elements from two or more sources: such as
saint;:one officially recognized especially through canonization as preeminent for holiness
inherently;:involved in the constitution oressentialcharacter of something:belonging by nature or habit:intrinsic
heretical;:of or relating to adherence to a religious opinion contrary to church dogma:characterized byheresy
parse;:to divide (a sentence) into grammatical parts and identify the parts and their relations to each other
intricately;:having many complexly interrelating parts or elements:complicated
copulation;:to engage in sexual intercourse
conundrum;:anintricateand difficult problem
inference;:something that is inferred
seminal;:of, relating to, or consisting of seed orsemen
afflict;:to cause pain or suffering to:to distress so severely as to cause persistent suffering or anguish
ameliorate;:to make better or moretolerable
perturbation;:the action ofperturbing:the state of beingperturbed
permeability;:the quality or state of beingpermeable
unfathomable;:not capable of being fathomed:
naysayer;:one who denies, refuses, opposes, or is skeptical or cynical about something
ablation;:the process ofablating: such as
sound;:a particular auditory impression:tone
dearth;:scarcitythat makesdear
impasse;:apredicamentaffordingno obvious escape
recession;:the act or action ofreceding:withdrawal
conscientiousness;:the condition or quality of beingconscientious
pertain;:to belong as a part, member, accessory, or product
regimented;:a military unit consisting usually of a number of battalions
allay;:to subdue or reduce in intensity or severity:alleviate
attenuation;:the act or process ofattenuatingsomething or the state of being attenuated: such as
undermines;:to subvert or weaken insidiously or secretly
industriousness;:constantly, regularly, or habitually active or occupied:diligent
spanning;:the distance from the end of the thumb to the end of the little finger of a spread hand
doxxed;:to publicly identify or publish private information about (someone) especially as a form of punishment or revenge
disenfranchising;:todepriveof afranchise, of a legal right, or of some privilege or immunity
contends;:to strive or vie incontestor rivalry or against difficulties:struggle
chirp;:to make achirpor a sound resembling a chirp
quicksand;:sand readily yielding to pressure
Dissuade;:to advise (a person) against something
straying;:a domestic animal that is wandering at large or is lost
residual;:remainder,residuum: such as
aggregate;:formed by the collection of units or particles into a body, mass, or amount:collective: such as
err;:to make a mistake
confounds;:to throw (a person) intoconfusionor perplexity
striven;:to devote serious effort or energy:endeavor
retrograde;:having or being motion in a direction contrary to that of the general motion of similar bodies and especially east to west among the stars
supplanting;:to supersede (another) especially by force or treachery
seclusion;:the act ofsecluding:the condition of beingsecluded
herald;:an official at a tournament of arms (seearmentry3sense 1a) with duties including the making of announcements and the marshaling of combatants
ambivalent;:having or showing simultaneous and contradictory attitudes or feelings toward something or someone:characterized byambivalence
persecution;:the act or practice ofpersecutingespecially those who differ in origin, religion, or social outlook
acumen;:keenness and depth of perception,discernment, ordiscriminationespecially in practical matters
bereft;:deprivedor robbed of the possession or use of something
obstinately;:stubbornlyadheringto an opinion, purpose, or course in spite of reason, arguments, or persuasion
repent;:to turn from sin and dedicate oneself to the amendment of one's life
spade;:a digging implement adapted for being pushed into the ground with the foot
indenture;:a document or a section of a document that isindented
assortative;:being nonrandom mating based on like or unlike characteristics
aspersion;:a false or misleading charge meant to harm someone's reputation
tenacity;:the quality or state of beingtenacious
deviation?;:an act or instance ofdeviating: such as
soiling;:to stain or defile morally:corrupt
predecessor;:one that precedes
vitriol;:bitterly harsh or caustic language or criticism
demeanor;:behavior toward others:outwardmanner
disavows;:to deny responsibility for:repudiate
iconoclasm;:the doctrine, practice, or attitude of aniconoclast
congregation;:an assembly of persons:gathering
divesting;:to deprive or dispossess especially of property, authority, or title
belay;:to secure (a rope or cable) by turns around a cleat (seecleatentry1sense 1b), pin, orbitt
coalesced;:to grow together
compunction;:anxiety arising from awareness of guilt
insatiable;:incapable of being satisfied:quenchless
interspersed;:to insert at intervals among other things
unused;:not habituated:unaccustomed
tantamount;:equivalent in value, significance, or effect
deterring;:to turn aside,discourage, or prevent from acting
serpent;:a noxious creature that creeps, hisses, or stings
resounding;:producing or characterized byresonantsound:resonating
stigmatization;:to describe or regard (something, such as a characteristic or group of people) in a way that shows strong disapproval
squint;:looking or tending to look obliquely or askance (as with envy or disdain)
spat;:a young bivalve (such as an oyster)
instigator;:to goad or urge forward:provoke
hapless;:having no luck:unfortunate
eclectic;:composed of elements drawn from various sources
dejected,;:low in spirits:depressed
untenable;:not able to bedefended
iteration;:version,incarnation
replete;:fully or abundantly provided or filled
prognosticate;:to foretell from signs or symptoms:predict
apportion;:to divide and share out according to a plan
sober;:notintoxicated
epitomizes;:to serve as the typical or ideal example of
semblance;:outward and often specious appearance or show:form
aberrant;:deviatingfrom the usual or natural type:atypical,abnormal
regressing;:an act or the privilege of going or coming back
proclivities;:an inclination or predisposition toward something
boasting;:a statement expressing excessive pride in oneself:the act or an instance of boasting (seeboastentry2):brag
posited;:to dispose or set firmly:fix
succinctly;:marked by compact precise expression without wasted words
conciliatory;:intended to gain goodwill or favor or to reduce hostility:tending or intended toconciliate
muster.;:a representative specimen (seespecimensense 1):sample
pliable;:supple enough to bend freely or repeatedly without breaking
substantively;:having substance:involving matters of major orpracticalimportance to all concerned
enterprises;:a project or undertaking that is especially difficult, complicated, or risky
compartmentalization;:to separate into isolatedcompartmentsor categories
infanticide;:the killing of aninfant
extricate;:to free or remove from an entanglement or difficulty
incentivize;:to provide with anincentive
unimpeded;:not slowed, blocked, or interfered with:notimpeded
vicissitudes;:the quality or state of being changeable:mutability
balk;:to refuse abruptly
stunted;:to hinder the normal growth, development, or progress of
rail;:a bar extending from one post or support to another and serving as a guard or barrier
relegated;:to send into exile:banish
embroil;:to throw into disorder or confusion
dicey;:risky,unpredictable
canonical;:of, relating to, or forming acanon
preemption;:the right of purchasing before others
obfuscation;:to throw into shadow:darken
shun;:to avoid deliberately and especially habitually
immolate;:to kill or destroy especially by fire
sentiment;:an attitude, thought, or judgment prompted by feeling:predilection
zealousness;:marked by fervent partisanship for a person, a cause, or an ideal:filled with or characterized byzeal
belie;:to give a false impression of
propriety;:the quality or state of beingproperor suitable:appropriateness
respite;:a period of temporary delay
redress;:to set right:remedy
restraint;:an act ofrestraining:the state of beingrestrained
countermand;:to revoke (a command) by a contrary order
specificity;:the quality or condition of beingspecific: such as
nail;:a horny sheath protecting the upper end of each finger and toe of humans and most other primates
epistemological;:of, relating to, or based onepistemology:relating to the study of the nature, origin, and limits of human knowledge
debilitation;:to impair the strength of:enfeeble
chastity;:the quality or state of beingchaste: such as
willful;:obstinately and often perversely self-willed
impenetrability;:the quality or state of beingimpenetrable
legitimacy;:the quality or state of beinglegitimate
exasperated;:having or showing strong feelings of irritation or annoyance
